variable,name,type,codes,labels,definition,level,type_var,exposure_type,outcome,exposure,pca,ready,raw variables,sort
Age,age,Continuous,,,Age to the nearest year,Ind.-level,Socio-demographic,,,,,Yes,No,1
Age^2,age2,Continuous,,,Age to the nearest year squared,Ind.-level,Socio-demographic,,,,,Yes,No,1.1
Age group,age_cat,Categorical ,"1,2,3,4,5,6,7,8,9,10,11","5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55+",Age group,Ind.-level,Socio-demographic,,,,,Yes,Yes,1.4
Age group,age_cat2,Categorical ,"1,2,3,4","5-9,10-14,15-19,20+",Age group,Ind.-level,Socio-demographic,,,,,Yes,Yes,1.4
Age group,age_cat3,Categorical ,"1,2,3,4","5-9,10-15,16-19,20+",Age group,Ind.-level,Socio-demographic,,,,,Yes,Yes,1.4
Gender,gender,Binary,"1,2","female,male",Female,Ind.-level,Socio-demographic,,,,,Yes,Yes,2
Female,gender_cat,Binary,"0,1",,Self-reported gender,Ind.-level,Socio-demographic,,,,,Yes,No,2
Adult,adult,Binary,"0,1",,Child (<18)/adult (18+),Ind.-level,Socio-demographic,,,,,Yes,Yes,3
Education level attained,education_cat,Categorical,"0,1,2","none,primary,secondary or higher",Highest level of education completed,Ind.-level,Socio-demographic,,,,,Yes,No,5
Education level attained (1-16),education_lvl,Continuous,,,"Highest level of education (1-16). The levels of education were primary 1-7, senior 1-6 (levels 8-13), diploma (level 14), some university (level 15), and completed university (level 16)",Ind.-level,Socio-demographic,,,,,Yes,Yes,5
Tribe,tribe,Categorical,[use existing levels],,Tribe of individual,Ind.-level,Socio-demographic,,,,,Yes,Yes,5
Tribe,tribe_cat,Categorical,"0,1,2,3","other,musoga,alur,bagungu",Tribe of individual,Ind.-level,Socio-demographic,,,,,Yes,Yes,5
Religion,religion_cat,Categorical,"0,1,2","no religion/other,christian,muslim",Religion ,Ind.-level,Socio-demographic,,,,,Yes,No,5
Enrolled at school,school_enrolment_cat,Binary,"0,1",,Participant currently enrolled (all participants aged 18+ coded as not enrolled),Ind.-level,Socio-demographic,,,,,Yes,No,5
Water contact,lact_ind,Binary,"0,1",,"Individual has water contact, as reported by the household head based based on whether individual enaged in any water contact activity",Ind.-level,Water contact,Present exposure,,,Yes,Yes,No,10
Domestic water contact,lact_ind_dom,Binary,"0,1",,"Participant engages in one or more of the following domestic water contact activities: getting drinking water, washing clothes with soap, washing clothes without soap, washing jerry cans or household items, washing clothes with soap",Ind.-level,Water contact,Present exposure,,Exposure,,Yes,No,10
Occupational water contact,lact_ind_occ,Binary,"0,1",,"Participant engages in one or more of the following occupational water contact activities: collecting papyrus, fishing, fishmongering, collecting shells",Ind.-level,Water contact,Present exposure,,Exposure,,Yes,No,10
Recreational water contact,lact_ind_rec,Binary,"0,1",,Participant engages in one or more of the following recreational water contact activities: swimming or playing,Ind.-level,Water contact,Present exposure,,Exposure,,Yes,No,10
Water contact frequency per week,lact_freq,Continuous,,,Water contact frequency per individual per week across all activities (generated by combining the frequency of all individual activities),Ind.-level,Water contact,Present exposure,,Exposure,,Yes,No,10
Occupational water contact frequency per week,lact_freq_occ,Continuous,,,"Occupational water contact frequency per individual per week, as reported by the household head",Ind.-level,Water contact,Present exposure,,,,Yes,No,10
Water contact duration across all activities per week,lact_dura,Continuous,,,Water contact duration across all activities (but not multiplied by frequency of activity),Ind.-level,Water contact,Present exposure,,,,Yes,Yes,10
Occupational water contact duration per week (hrs),lact_hrs_occ,Continuous,,,Water contact duration across all occupational activities multiplied by frequency ,Ind.-level,Water contact,Present exposure,,,Yes,Yes,No,10
Domestic water contact duration per week (hrs),lact_hrs_dom,Continuous,,,Water contact duration across all domestic activities multiplied by frequency ,Ind.-level,Water contact,Present exposure,,,Yes,Yes,No,10
Recreational water contact duration per week (hrs),lact_hrs_rec,Continuous,,,Water contact duration across all recreational activities multiplied by frequency ,Ind.-level,Water contact,Present exposure,,,Yes,Yes,No,10
Water contact duration per week (hrs),lact_hrs,Categorical,,,Water contact duration in hours per week across all activities (generated by combining frequency and duraction of all individual activities),Ind.-level,Water contact,Present exposure,,Exposure,Yes,Yes,No,10
Number of water contact activities,nlact_ind,Discrete,,,Number of distinct water contact activities a participant engaged in,Ind.-level,Water contact,Present exposure,,Exposure,Yes,Yes,No,10
Years in village (individual),yearsvillage_ind,Discrete,,,Years individual has lived in village,Ind.-level,Water contact,Present exposure,,,Yes,Yes,No,10
Collecting papyrus,collecting_papyrus,Binary,"0,1",,Collecting papyrus (typical activity as reported by the household head),Ind.-level,Water contact,Present exposure,,,Yes,Yes,No,10
Fishing,fishing,Binary,"0,1",,"Individual typically goes fishing, as reported by the household head)",Ind.-level,Water contact,Present exposure,,,Yes,Yes,No,10
Getting drinking water,getting_drinking_water,Binary,"0,1",,"Individual typically gets drinking water, as reported by the household head",Ind.-level,Water contact,Present exposure,,,Yes,Yes,No,10
Washing clothes without soap,washing_clothes_without_soap,Binary,"0,1",,"Individual typically washes clothes without soap, as reported by the household head",Ind.-level,Water contact,Present exposure,,,Yes,Yes,No,10
Bathing with soap,bathing_with_soap,Binary,"0,1",,"Individual typically bathes with soap, as reported by the household head",Ind.-level,Water contact,Present exposure,,,Yes,Yes,No,10
Bathing without soap,bathing_without_soap,Binary,"0,1",,"Individual typically bathes without soap, as reported by the household head",Ind.-level,Water contact,Present exposure,,,Yes,Yes,No,10
Fishmongering,fishmongering,Binary,"0,1",,"Individual typically goes fishmongering, as reported by the household head",Ind.-level,Water contact,Present exposure,,,Yes,Yes,No,10
Washing clothes with soap,washing_clothes_with_soap,Binary,"0,1",,"Individual typically washes clothes with soap, as reported by the household head",Ind.-level,Water contact,Present exposure,,,Yes,Yes,No,10
Washing jerry cans or other household items,washing_jerry_cans_or_other_household_items,Binary,"0,1",,"Individual typically washes jerry cans or other household items, as reported by the household head",Ind.-level,Water contact,Present exposure,,,Yes,Yes,No,10
Collecting shells,collecting_shells,Binary,"0,1",,"Individual typically collects shells, as reported by the household head",Ind.-level,Water contact,Present exposure,,,Yes,Yes,No,10
Swimming or playing,swimming_or_plays,Binary,"0,1",,"Individual typically goes swimming or playing, as reported by the household head",Ind.-level,Water contact,Present exposure,,,Yes,Yes,No,10
HH water contact,lact_hh,Binary,"0,1",,"HH has water contact, as reported by the household head based based on whether household enaged in any water contact activity",HH-level,Water contact,Present exposure,,,,Yes,No,10
Number of water contact activities,nlact_hh,Discrete,,,Number of distinct hh-level water contact activities,HH-level,Water contact,Present exposure,,,,Yes,No,10
Years in village (household),yearsvillage_hh,Discrete,,,Years household has lived in village,HH-level,Water contact,Past exposure,,,,Yes,No,10
Time spent collecting papyrus (hrs),collecting_papyrus_time_spent,Categorical,[use existing levels],,Time spent collecting papyrus,HH-level,Water contact,Present exposure,,,Yes,Yes,No,10
Time spent fishing (hrs),fishing_time_spent,Categorical,[use existing levels],,Time spent fishing,HH-level,Water contact,Present exposure,,,Yes,Yes,No,10
Time spent getting drinking water (hrs),getting_drinking_water_time_spent,Categorical,[use existing levels],,Time spent getting drinking water,HH-level,Water contact,Present exposure,,,Yes,Yes,No,10
Time spent washing clothes without  soap (hrs),washing_clothes_without_soap_time_spent,Categorical,[use existing levels],,Time spent washing clothes without  soap,HH-level,Water contact,Present exposure,,,Yes,Yes,No,10
Time spent bathing with soap (hrs),bathing_with_soap_time_spent,Categorical,[use existing levels],,Time spent bathing with soap,HH-level,Water contact,Present exposure,,,Yes,Yes,No,10
Time spent bathing without soap (hrs),bathing_without_soap_time_spent,Categorical,[use existing levels],,Time spent bathing without soap,HH-level,Water contact,Present exposure,,,Yes,Yes,No,10
Time spent fishmongering (hrs),fishmongering_time_spent,Categorical,[use existing levels],,Time spent fishmongering,HH-level,Water contact,Present exposure,,,Yes,Yes,No,10
Time spent washing clothes with soap (hrs),washing_clothes_with_soap_time_spent,Categorical,[use existing levels],,Time spent washing clothes with  soap,HH-level,Water contact,Present exposure,,,Yes,Yes,No,10
Time spent washing jerry cans or other household items (hrs),washing_jerry_cans_or_other_household_items_time_spent,Categorical,[use existing levels],,Time spent washing jerry cans or other household items,HH-level,Water contact,Present exposure,,,Yes,Yes,No,10
Time spent collecting shells (hrs),collecting_shells_time_spent,Categorical,[use existing levels],,Time spent collecting shells,HH-level,Water contact,Present exposure,,,Yes,Yes,No,10
Time spent swimming or playing (hrs),swimming_or_plays_time_spent,Categorical,[use existing levels],,Time spent swimming or playing,HH-level,Water contact,Present exposure,,,Yes,Yes,No,10
Trips to water collecting papyrus,collecting_papyrus_trips_to_water,Categorical,[use existing levels],,Trips to water collecting papyrus,HH-level,Water contact,Present exposure,,,Yes,Yes,No,10
Trips to water fishing,fishing_trips_to_water,Categorical,[use existing levels],,Trips to water fishing,HH-level,Water contact,Present exposure,,,Yes,Yes,No,10
Trips to water getting drinking water,getting_drinking_water_trips_to_water,Categorical,[use existing levels],,Trips to water getting drinking water,HH-level,Water contact,Present exposure,,,Yes,Yes,No,10
Trips to water washing clothes without  soap,washing_clothes_without_soap_trips_to_water,Categorical,[use existing levels],,Trips to water washing clothes without  soap,HH-level,Water contact,Present exposure,,,Yes,Yes,No,10
Trips to water bathing with soap,bathing_with_soap_trips_to_water,Categorical,[use existing levels],,Trips to water bathing with soap,HH-level,Water contact,Present exposure,,,Yes,Yes,No,10
Trips to water bathing without soap,bathing_without_soap_trips_to_water,Categorical,[use existing levels],,Trips to water bathing without soap,HH-level,Water contact,Present exposure,,,Yes,Yes,No,10
Trips to water fishmongering,fishmongering_trips_to_water,Categorical,[use existing levels],,Trips to water fishmongering,HH-level,Water contact,Present exposure,,,Yes,Yes,No,10
Trips to water washing clothes with  soap,washing_clothes_with_soap_trips_to_water,Categorical,[use existing levels],,Trips to water washing clothes with  soap,HH-level,Water contact,Present exposure,,,Yes,Yes,No,10
Trips to water washing jerry cans or other household items,washing_jerry_cans_or_other_household_items_trips_to_water,Categorical,[use existing levels],,Trips to water washing jerry cans or other household items,HH-level,Water contact,Present exposure,,,Yes,Yes,No,10
Trips to water collecting shells,collecting_shells_trips_to_water,Categorical,[use existing levels],,Trips to water collecting shells,HH-level,Water contact,Present exposure,,,Yes,Yes,No,10
Trips to water swimming or playing,swimming_or_plays_trips_to_water,Categorical,[use existing levels],,Trips to water swimming or playing,HH-level,Water contact,Present exposure,,,Yes,Yes,No,10
Time of day collecting papyrus,collecting_papyrus_time_of_day_in_water,Categorical,[use existing levels],,Time of day collecting papyrus,HH-level,Water contact,Present exposure,,,,Yes,No,10
Time of day fishing,fishing_time_of_day_in_water,Categorical,[use existing levels],,Time of day fishing,HH-level,Water contact,Present exposure,,,,Yes,No,10
Time of day getting drinking water,getting_drinking_water_time_of_day_in_water,Categorical,[use existing levels],,Time of day getting drinking water,HH-level,Water contact,Present exposure,,,,Yes,No,10
Time of day washing clothes without soap,washing_clothes_without_soap_time_of_day_in_water,Categorical,[use existing levels],,Time of day washing clothes without  soap,HH-level,Water contact,Present exposure,,,,Yes,No,10
Time of day bathing with soap,bathing_with_soap_time_of_day_in_water,Categorical,[use existing levels],,Time of day bathing with soap,HH-level,Water contact,Present exposure,,,,Yes,No,10
Time of day bathing without soap,bathing_without_soap_time_of_day_in_water,Categorical,[use existing levels],,Time of day bathing without soap,HH-level,Water contact,Present exposure,,,,Yes,No,10
Time of day fishmongering,fishmongering_time_of_day_in_water,Categorical,[use existing levels],,Time of day fishmongering,HH-level,Water contact,Present exposure,,,,Yes,No,10
Time of day washing clothes with soap,washing_clothes_with_soap_time_of_day_in_water,Categorical,[use existing levels],,Time of day washing clothes with  soap,HH-level,Water contact,Present exposure,,,,Yes,No,10
Time of day washing jerry cans or other household items,washing_jerry_cans_or_other_household_items_time_of_day_in_water,Categorical,[use existing levels],,Time of day washing jerry cans or other household items,HH-level,Water contact,Present exposure,,,,Yes,No,10
Time of day collecting shells,collecting_shells_time_of_day_in_water,Categorical,[use existing levels],,Time of day collecting shells,HH-level,Water contact,Present exposure,,,,Yes,No,10
Time of day swimming or playing,swimming_or_plays_time_of_day_in_water,Categorical,[use existing levels],,Time of day swimming or playing,HH-level,Water contact,Present exposure,,,,Yes,No,10
Collecting papyrus at high-risk time,collecting_papyrus_high_risk_time,Categorical,[use existing levels],,Collecting papyrus at high-risk time (9am - 3pm),HH-level,Water contact,Present exposure,,,,Yes,No,10
Fishing at high-risk time,fishing_high_risk_time,Categorical,[use existing levels],,Fishing at high-risk time (9am - 3pm),HH-level,Water contact,Present exposure,,,,Yes,No,10
Getting drinking water at high-risk time,getting_drinking_water_high_risk_time,Categorical,[use existing levels],,Getting drinking water at high-risk time (9am - 3pm),HH-level,Water contact,Present exposure,,,,Yes,No,10
Washing clothes without soap at high-risk time,washing_clothes_without_soap_high_risk_time,Categorical,[use existing levels],,Washing clothes without soap at high-risk time (9am - 3pm),HH-level,Water contact,Present exposure,,,,Yes,No,10
Bathing with soap at high-risk time,bathing_with_soap_high_risk_time,Categorical,[use existing levels],,Bathing with soap at high-risk time (9am - 3pm),HH-level,Water contact,Present exposure,,,,Yes,No,10
Bathing without soap at high-risk time,bathing_without_soap_high_risk_time,Categorical,[use existing levels],,Bathing without soap at high-risk time (9am - 3pm),HH-level,Water contact,Present exposure,,,,Yes,No,10
Fishmongering at high-risk time,fishmongering_high_risk_time,Categorical,[use existing levels],,Fishmongering at high-risk time (9am - 3pm),HH-level,Water contact,Present exposure,,,,Yes,No,10
Washing clothes with soap at high-risk time,washing_clothes_with_soap_high_risk_time,Categorical,[use existing levels],,Washing clothes with soap at high-risk time (9am - 3pm),HH-level,Water contact,Present exposure,,,,Yes,No,10
Washing jerry cans or other household items at high-risk time,washing_jerry_cans_or_other_household_items_high_risk_time,Categorical,[use existing levels],,Washing jerry cans or other household items at high-risk time (9am - 3pm),HH-level,Water contact,Present exposure,,,,Yes,No,10
Collecting shells at high-risk time,collecting_shells_high_risk_time,Categorical,[use existing levels],,Collecting shells at high-risk time (9am - 3pm),HH-level,Water contact,Present exposure,,,,Yes,No,10
